Algorithm,Final_AUROC,Final_F1,Final_ACC,Time_min
fedavg,0.6524692068198565,0.20821458507963117,0.7018684509531625,127.92424819866817
fedprox,0.6602924864601141,0.12223486284919732,0.7077810040819762,29.425303427378335
fedsgd,0.661174058846973,0.17969441330894934,0.7074233051382401,14.301389801502228
fedper,0.6486264152908651,0.2330954067454912,0.7038463157008795,38.77601624329885
